epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.609,3.09275,7.225,0.07287,0.81302,0.04213,0.03001,0.01514,2.6311,4.20158,0.05861,0.00033316,0.00033316,0.00033316
2,559.703,2.33015,3.68199,0.04712,0.8547,0.04213,0.04437,0.02319,2.3726,4.00734,0.05002,0.00060051,0.00060051,0.00060051
3,807.244,2.0924,3.48738,0.04014,0.59885,0.06426,0.05349,0.03328,2.14449,3.77421,0.04139,0.000801861,0.000801861,0.000801861
4,1062.11,1.97734,3.37084,0.03641,0.62251,0.08992,0.06986,0.03939,2.13353,3.63904,0.04192,0.000703,0.000703,0.000703
5,1314.62,1.87932,3.26875,0.03342,0.6201,0.09461,0.07648,0.05049,1.97374,3.52745,0.03605,0.000604,0.000604,0.000604
6,1564.42,1.81944,3.19108,0.0317,0.63795,0.10218,0.08038,0.04702,1.98318,3.54212,0.03747,0.000505,0.000505,0.000505
7,1815.68,1.76945,3.12833,0.03047,0.66273,0.11677,0.10608,0.06765,1.92515,3.36616,0.03515,0.000406,0.000406,0.000406
8,2069.64,1.72157,3.05618,0.02927,0.65909,0.13017,0.1114,0.07269,1.86716,3.34493,0.0335,0.000307,0.000307,0.000307
9,2322.86,1.68502,3.00369,0.02806,0.44271,0.14239,0.10675,0.06796,1.86591,3.33148,0.0337,0.000208,0.000208,0.000208
10,2576.1,1.6659,2.96046,0.02767,0.42723,0.15738,0.10979,0.07164,1.84155,3.30377,0.03262,0.000109,0.000109,0.000109
